2025-06-30 18:09:26,074 | INFO     | nexus_trading.main   | ==================================================
2025-06-30 18:09:26,075 | INFO     | nexus_trading.main   | NEXUS TRADING SYSTEM STARTING
2025-06-30 18:09:26,075 | INFO     | nexus_trading.main   | Mode: setup
2025-06-30 18:09:26,075 | INFO     | nexus_trading.main   | ==================================================
2025-06-30 18:09:26,075 | INFO     | nexus_trading.main   | Starting SETUP mode...
2025-06-30 18:09:26,076 | INFO     | nexus_trading.main   | Directory created/verified: logs
2025-06-30 18:09:26,076 | INFO     | nexus_trading.main   | Directory created/verified: data
2025-06-30 18:09:26,077 | INFO     | nexus_trading.main   | Directory created/verified: config
2025-06-30 18:09:26,078 | INFO     | nexus_trading.main   | Directory created/verified: temp
2025-06-30 18:09:27,591 | INFO     | nexus_trading.main   | Core dependencies verified
2025-06-30 18:09:27,591 | INFO     | nexus_trading.main   | Setup completed successfully
2025-06-30 18:09:27,592 | INFO     | nexus_trading.main   | NEXUS TRADING SYSTEM STOPPING
2025-06-30 18:09:27,592 | INFO     | nexus_trading.main   | ==================================================
2025-06-30 18:09:44,706 | INFO     | nexus_trading.main   | ==================================================
2025-06-30 18:09:44,706 | INFO     | nexus_trading.main   | NEXUS TRADING SYSTEM STARTING
2025-06-30 18:09:44,707 | INFO     | nexus_trading.main   | Mode: test
2025-06-30 18:09:44,707 | INFO     | nexus_trading.main   | ==================================================
2025-06-30 18:09:44,707 | INFO     | nexus_trading.main   | Starting TEST mode...
2025-06-30 18:09:44,708 | INFO     | nexus_trading.main   | Test 1: Environment validation...
2025-06-30 18:09:45,722 | INFO     | nexus_trading.main   | pandas: 2.3.0
2025-06-30 18:09:45,722 | INFO     | nexus_trading.main   | numpy: 2.3.1
2025-06-30 18:09:46,207 | WARNING  | nexus_trading.main   | pandas_ta not available - will use fallback calculations
2025-06-30 18:09:46,208 | INFO     | nexus_trading.main   | Test 2: Database connection...
2025-06-30 18:09:49,702 | INFO     | database.enhanced_database_manager | Database connection pool initialized
2025-06-30 18:09:49,726 | INFO     | nexus_trading.main   | Database connection successful
